127.0.0.1 - - [09/May/2024:20:46:08 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/May/2024:20:49:33 +0700] "GET /teet/products HTTP/1.1" 404 690
0:0:0:0:0:0:0:1 - - [09/May/2024:20:49:33 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [09/May/2024:20:49:42 +0700] "GET /demo/products HTTP/1.1" 200 475
0:0:0:0:0:0:0:1 - - [09/May/2024:20:49:50 +0700] "GET /demo/categories HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [09/May/2024:20:49:52 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [09/May/2024:20:49:56 +0700] "POST /demo/categories?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2024:20:49:56 +0700] "GET /demo/categories HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [09/May/2024:20:49:57 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [09/May/2024:20:50:02 +0700] "POST /demo/categories?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2024:20:50:02 +0700] "GET /demo/categories HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [09/May/2024:20:50:06 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/May/2024:20:58:12 +0700] "GET /demo/categories HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [09/May/2024:20:58:14 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [09/May/2024:20:58:17 +0700] "POST /demo/categories?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/May/2024:20:58:17 +0700] "GET /demo/categories HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [09/May/2024:20:58:18 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [09/May/2024:20:58:21 +0700] "POST /demo/categories?action=createPost HTTP/1.1" 302 -
