0:0:0:0:0:0:0:1 - - [14/May/2024:19:12:31 +0700] "GET /demo/products?action=updateGet&id=1 HTTP/1.1" 200 1232
0:0:0:0:0:0:0:1 - - [14/May/2024:19:17:45 +0700] "GET /demo/products HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [14/May/2024:19:17:48 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [14/May/2024:19:20:01 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [14/May/2024:19:20:22 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 2007
0:0:0:0:0:0:0:1 - - [14/May/2024:19:20:46 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [14/May/2024:19:20:47 +0700] "GET /demo/products HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [14/May/2024:19:20:51 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [14/May/2024:19:20:53 +0700] "GET /demo/products HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [14/May/2024:19:20:54 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [14/May/2024:19:21:24 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [14/May/2024:19:24:54 +0700] "GET /demo/products HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [14/May/2024:19:24:57 +0700] "GET /demo/products?action=updateGet&id=1 HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [14/May/2024:19:25:16 +0700] "GET /demo/products?action=updateGet&id=1 HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [14/May/2024:19:25:30 +0700] "GET /demo/products?action=updateGet&id=1 HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [14/May/2024:19:25:34 +0700] "POST /demo/products?action=updatePost HTTP/1.1" 500 1538
0:0:0:0:0:0:0:1 - - [14/May/2024:19:25:41 +0700] "POST /demo/products?action=updatePost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:25:41 +0700] "GET /demo/products HTTP/1.1" 200 2055
0:0:0:0:0:0:0:1 - - [14/May/2024:19:25:44 +0700] "GET /demo/products?action=updateGet&id=1 HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [14/May/2024:19:25:47 +0700] "POST /demo/products?action=updatePost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:25:47 +0700] "GET /demo/products HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [14/May/2024:19:26:54 +0700] "GET /demo/categories HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [14/May/2024:19:27:19 +0700] "GET /demo/categories HTTP/1.1" 200 1261
0:0:0:0:0:0:0:1 - - [14/May/2024:19:28:50 +0700] "GET /demo/categories HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [14/May/2024:19:31:17 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [14/May/2024:19:31:20 +0700] "GET /demo/categories HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:28 +0700] "GET /demo/categories?action=updateGet&id=1 HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:30 +0700] "GET /demo/categories HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:32 +0700] "GET /demo/products HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:46 +0700] "GET /demo/categories HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:47 +0700] "GET /demo/products HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:48 +0700] "GET /demo/categories HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:49 +0700] "GET /demo/categories?action=updateGet&id=1 HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:50 +0700] "GET /demo/categories HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:52 +0700] "GET /demo/categories?action=createGet HTTP/1.1" 200 1213
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:54 +0700] "GET /demo/categories HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:55 +0700] "GET /demo/products HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:58 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [14/May/2024:19:32:59 +0700] "GET /demo/products HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [14/May/2024:19:37:58 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [14/May/2024:19:38:03 +0700] "POST /demo/products?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:38:03 +0700] "GET /demo/products HTTP/1.1" 200 2420
0:0:0:0:0:0:0:1 - - [14/May/2024:19:38:03 +0700] "GET /demo/3 HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [14/May/2024:19:38:06 +0700] "GET /demo/products?action=deleteProduct&id=3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:38:06 +0700] "GET /demo/products HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [14/May/2024:19:45:28 +0700] "GET /demo/products HTTP/1.1" 200 2216
0:0:0:0:0:0:0:1 - - [14/May/2024:19:46:41 +0700] "GET /demo/products HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [14/May/2024:19:46:43 +0700] "GET /demo/products?action=deleteProduct&id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:46:43 +0700] "GET /demo/products HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [14/May/2024:19:46:48 +0700] "GET /demo/products?action=deleteProduct&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:46:48 +0700] "GET /demo/products HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [14/May/2024:19:46:52 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [14/May/2024:19:46:57 +0700] "POST /demo/products?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:46:57 +0700] "GET /demo/products HTTP/1.1" 200 1684
0:0:0:0:0:0:0:1 - - [14/May/2024:19:46:57 +0700] "GET /demo/1 HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [14/May/2024:19:47:00 +0700] "GET /demo/products?action=deleteProduct&id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:47:00 +0700] "GET /demo/products HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [14/May/2024:19:47:30 +0700] "GET /demo/products?action=createGet HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [14/May/2024:19:47:39 +0700] "POST /demo/products?action=createPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:19:47:39 +0700] "GET /demo/products HTTP/1.1" 200 1770
0:0:0:0:0:0:0:1 - - [14/May/2024:20:10:35 +0700] "GET /demo/products HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [14/May/2024:20:10:38 +0700] "GET /demo/categories HTTP/1.1" 200 1327
0:0:0:0:0:0:0:1 - - [14/May/2024:20:11:26 +0700] "GET /demo/categories HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [14/May/2024:20:11:41 +0700] "GET /demo/categories HTTP/1.1" 200 1325
